# Cry of Fear: Enhanced - German strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\german.
english	translation	where
Done	Fertig	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
Donate	Spenden	menus/CryOfFear.cpp:1053
Soundtrack 1	Soundtrack 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Soundtrack 2	menus/CryOfFear.cpp:1055
Clothes	Kleidung	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EXTRAS	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas „ruMpel“ Rönnberg und James „Minuit“ Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Die Macher von Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Ein Community-Projekt	menus/CryOfFear.cpp:1225
Project site	Projektseite	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (POLNISCHE ÜBERSETZUNG)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	MITWIRKENDE	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Geheimraum, leeres Hinweisbuch, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Ein Flag für alle drei; MP5 via Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Unbekanntes Flag (Zeile 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Unbekanntes Flag (Zeile 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Unbekanntes Flag (Zeile 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS mit unendlich Munition	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Unbekanntes Flag (Zeile 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Unbekanntes Flag (Zeile 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Unbekanntes Flag (Zeile 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	David-Leatherhoff-Anzug	menus/CryOfFear.cpp:1529
ModDB hoodie	ModDB-Hoodie	menus/CryOfFear.cpp:1533
Hello Kitty suit	Hello-Kitty-Anzug	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Afraid-of-Monsters-Anzug	menus/CryOfFear.cpp:1541
Camouflage hoodie	Tarn-Hoodie	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Half-Life-Creations-Hoodie	menus/CryOfFear.cpp:1549
Black Metal suit	Black-Metal-Anzug	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Team-Psykskallar-Hoodie	menus/CryOfFear.cpp:1557
Awesome suit	Awesome-Anzug	menus/CryOfFear.cpp:1561
Sick Simon suit	Kranker-Simon-Anzug	menus/CryOfFear.cpp:1565
AoM Twitcher suit	AoM-Twitcher-Anzug	menus/CryOfFear.cpp:1569
Custom hoodies	Eigene Hoodies	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	David Leatherhoffs Axt	menus/CryOfFear.cpp:1577
Digital camera	Digitalkamera	menus/CryOfFear.cpp:1581
Simon's book	Simons Buch	menus/CryOfFear.cpp:1585
Developer commentary	Entwicklerkommentar	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Nach Freischalten unter Neues Spiel	menus/CryOfFear.cpp:1590
Hidden package	Verstecktes Paket	menus/CryOfFear.cpp:1593
Tied to the secret ending	Gehört zum geheimen Ende	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Gasmaske (Nachtsicht)	menus/CryOfFear.cpp:1597
First hint page	Erste Hinweisseite	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	„How To Unlock Book Pages“	menus/CryOfFear.cpp:1602
Second hint page	Zweite Hinweisseite	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	„Ranking System Explained“	menus/CryOfFear.cpp:1606
Third hint page	Dritte Hinweisseite	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	„How To Unlock Hoodies“	menus/CryOfFear.cpp:1610
Fourth hint page	Vierte Hinweisseite	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	„How To Unlock Secret Items“	menus/CryOfFear.cpp:1614
Fifth hint page	Fünfte Hinweisseite	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	„How To Unlock Secret Weapons“	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Unbekanntes Flag (Zeile 81)	menus/CryOfFear.cpp:1621
Doctor mode	Doktor-Modus	menus/CryOfFear.cpp:1625
Nightmare difficulty	Schwierigkeitsgrad Albtraum	menus/CryOfFear.cpp:1629
Unlocked	Freigeschaltet	menus/CryOfFear.cpp:1838
UNLOCKABLES	FREISCHALTBARES	menus/CryOfFear.cpp:1900
Unlockable	Inhalt	menus/CryOfFear.cpp:1902
How to unlock	Freischalten durch	menus/CryOfFear.cpp:1903
Status	Status	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	Der Status stammt aus cryoffear/scriptsettings.dat: Jedes Flag ist eine 20-Byte-Zeile, verglichen mit den zwei Werten, die client.dll dafür kennt. „?“ heißt: Datei fehlt oder die Zeile passt zu keinem.	menus/CryOfFear.cpp:1912
Open original gallery	Originalgalerie öffnen	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Die Galeriekarte c_unlockables laden, den Originalbildschirm des Spiels	menus/CryOfFear.cpp:1917
GAME OVER	GAME OVER	menus/CryOfFear.cpp:1995
Game over	Game over	menus/CryOfFear.cpp:2172
Exit	Beenden	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Im Internet nach Updates suchen?	menus/Configuration.cpp:56
Game	Spiel	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Steuerung	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Audio	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Grafik	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Zielen, Maussteuerung, Speichern und Sprache	menus/Configuration.cpp:74
Change keyboard and mouse settings	Tastatur- und Mauseinstellungen ändern	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Lautstärke und Tonqualität ändern	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Auflösung, Anzeigemodus und Gamma ändern	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	OPTIONEN	menus/Configuration.cpp:81
Touch	Touch	menus/Configuration.cpp:108
Change touch settings and buttons	Touch-Einstellungen und -Tasten ändern	menus/Configuration.cpp:108
Joystick	Controller	menus/Configuration.cpp:110
Change gamepad axis and button settings	Achsen und Tasten des Controllers ändern	menus/Configuration.cpp:110
Update	Update	menus/Configuration.cpp:112
Check for updates	Nach Updates suchen	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Halten	menus/AdvancedControls.cpp:97
Toggle	Umschalten	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (Untertitel)	menus/AdvancedControls.cpp:282
not installed	nicht installiert	menus/AdvancedControls.cpp:298
GAME	SPIEL	menus/AdvancedControls.cpp:619
Crosshair	Fadenkreuz	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Fadenkreuz der Waffe anzeigen	menus/AdvancedControls.cpp:626
Reverse mouse	Maus umkehren	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Vertikale Mausachse umkehren	menus/AdvancedControls.cpp:630
Mouse look	Mausblick	menus/AdvancedControls.cpp:635
Use the mouse to look around	Mit der Maus umsehen	menus/AdvancedControls.cpp:635
Look spring	Blick zurückfedern	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	Beim Vorwärtsgehen schnellt der Blick wieder geradeaus	menus/AdvancedControls.cpp:641
Look strafe	Seitwärts mit Maus	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Mit der Mausblick-Taste bewegt die Maus nach links und rechts seitwärts, statt zu drehen	menus/AdvancedControls.cpp:645
Mouse filter	Mausfilter	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Mausbewegung glätten	menus/AdvancedControls.cpp:649
Auto-Aim	Zielhilfe	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Zielt automatisch auf Gegner.	menus/AdvancedControls.cpp:653
Raw mouse input	Direkte Mauseingabe	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Mausdaten direkt vom Gerät, ohne die Zeigerbeschleunigung des Betriebssystems	menus/AdvancedControls.cpp:657
Mouse sensitivity	Mausempfindlichkeit	menus/AdvancedControls.cpp:661
Input devices	Eingabegeräte	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Maus und Touch-Steuerung ein- oder ausschalten	menus/AdvancedControls.cpp:665
Enable console	Konsole aktivieren	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Entwicklerkonsole auch ohne den Startparameter -console oder -dev erlauben	menus/AdvancedControls.cpp:673
Pause menu saves	Speichern im Pausenmenü	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Speichern aus dem Pausenmenü in die fünf gemeinsamen Cry-of-Fear-Speicherplätze erlauben	menus/AdvancedControls.cpp:678
Show console notifications	Konsolenmeldungen anzeigen	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Zeigt die neuesten Konsolenzeilen während des Spiels oben links an	menus/AdvancedControls.cpp:706
Subtitle language	Untertitelsprache	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Sprache der Untertitel und der Dokumente im Spiel	menus/AdvancedControls.cpp:686
HUD scale	HUD-Größe	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Größe von HUD, Inventar und Untertiteln. Auto hält sie bei jeder Auflösung im gleichen Verhältnis zum Bildschirm	menus/AdvancedControls.cpp:693
Aim down sights	Über Kimme zielen	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Halten: Zielen, solange die Zieltaste gedrückt ist. Umschalten: einmal drücken zum Zielen, erneut zum Beenden	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Sprache der Menüs sowie der Untertitel, Dokumente und Schilder im Spiel	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Texte sofort, Schilder ab der nächsten Karte, restliche Grafiken nach einem Neustart.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Änderungen speichern und zurück	menus/InputDevices.cpp:81
Ignore mouse	Maus ignorieren	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Für manche Server nötig. Schaltet die Maus auch im Menü ab	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Ohne Touchscreen oder Controller kannst du ohne Maus nicht spielen.\nMaus wirklich deaktivieren?	menus/InputDevices.cpp:94
Enable touch	Touch aktivieren	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Bildschirmsteuerung für Touchscreens	menus/InputDevices.cpp:107
Enable the joystick	Controller aktivieren	menus/InputDevices.cpp:111
Enable using game controller in game	Einen Controller im Spiel verwenden	menus/InputDevices.cpp:111
Evdev input (root)	Evdev-Eingabe (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Aktiviert volle Maus- und Tastatursteuerung unter Android	menus/InputDevices.cpp:115
CONTROLS	STEUERUNG	menus/Controls.cpp:234
Action	Aktion	menus/Controls.cpp:238
KEY/BUTTON	TASTE	menus/Controls.cpp:239
ALTERNATE	ALTERNATIV	menus/Controls.cpp:240
Press a key or button	Drücke eine Taste	menus/Controls.cpp:242
Reset all actions to use their default keys?	Alle Aktionen auf die Standardtasten zurücksetzen?	menus/Controls.cpp:245
Use Defaults	Standard	menus/Controls.cpp:252
Adv. Controls	Erweitert	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	TASTE DRÜCKEN	menus/Controls.cpp:282
Video options	Grafikoptionen	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Grafikoptionen wie Bildgröße, Gamma und Bildqualität festlegen.	menus/Video.cpp:76
Video modes	Anzeigemodi	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Anzeigemodus und 3D-Beschleunigung einstellen.	menus/Video.cpp:77
Go back to the previous menu	Zurück zum vorherigen Menü	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Helligkeit	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Kontrast	menus/VideoModes.cpp:524
Field of view	Sichtfeld	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Grundsichtfeld für 4:3; 90 ist der Wert von Cry of Fear. Kimme und Skriptkameras bleiben unverändert.	menus/VideoModes.cpp:533
Viewmodel FOV	Waffen-Sichtfeld	menus/VideoModes.cpp:535
Follow FOV	Wie Sichtfeld	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Sichtfeld nur der gehaltenen Waffe. Auf der niedrigsten Stufe folgt es dem Sichtfeld der Welt, wie im Original.	menus/VideoModes.cpp:541
Detail textures	Detailtexturen	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	VBO verwenden	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Wasserwellen	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Überhelligkeit	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Texturfilterung	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	HUD automatisch skalieren	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1WARNUNG: Experimentelle Option, sie kann Mods beschädigen!^7\n\nStarte das Spiel neu oder verbinde dich erneut mit dem Server, um die Einstellungen zu übernehmen.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Von deiner Grafikkarte nicht unterstützt	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Diese Auflösung behalten? Noch %i Sekunden	menus/VideoModes.cpp:913
Windowed	Fenster	menus/VideoModes.cpp:933
Fullscreen	Vollbild	menus/VideoModes.cpp:934
Borderless	Rahmenlos	menus/VideoModes.cpp:935
VIDEO	GRAFIK	menus/VideoModes.cpp:946
Resolution	Auflösung	menus/VideoModes.cpp:949
Vertical sync	Vertikale Synchronisation	menus/VideoModes.cpp:952
Restart the game to apply changes	Spiel neu starten, um die Änderungen zu übernehmen	menus/VideoModes.cpp:961
Renderer	Renderer	menus/VideoModes.cpp:966
Window mode	Fenstermodus	menus/VideoModes.cpp:973
Apply	Übernehmen	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	GRAFIKOPTIONEN	menus/VideoOptions.cpp:170
Screen size	Bildgröße	menus/VideoOptions.cpp:181
AUDIO	AUDIO	menus/Audio.cpp:128
Sound effects volume	Lautstärke der Effekte	menus/Audio.cpp:130
MP3 volume *	Musiklautstärke *	menus/Audio.cpp:136
Menu sounds	Menüklänge	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Lautstärke der Tasten- und Hover-Klänge des Menüs	menus/Audio.cpp:146
HEV suit volume	Lautstärke HEV-Anzug	menus/Audio.cpp:153
Disable DSP effects	DSP-Effekte deaktivieren	menus/Audio.cpp:159
Use Alpha DSP effects	Alpha-DSP-Effekte verwenden	menus/Audio.cpp:163
Mute when inactive	Stumm im Hintergrund	menus/Audio.cpp:167
Enable vibration	Vibration aktivieren	menus/Audio.cpp:171
Vibration	Vibration	menus/Audio.cpp:178
No preview	Keine Vorschau	menus/LoadGame.cpp:235
Slot %i	Platz %i	menus/LoadGame.cpp:273
Empty	Leer	menus/LoadGame.cpp:300
Current	Aktuell	menus/LoadGame.cpp:321
New saved game	Neuer Spielstand	menus/LoadGame.cpp:322
New	Neu	menus/LoadGame.cpp:323
[quick]	[schnell]	menus/LoadGame.cpp:394
[autosave]	[automatisch]	menus/LoadGame.cpp:396
Save	Spielstand	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Laden	menus/LoadGame.cpp:452
Delete	Löschen	menus/LoadGame.cpp:457
Time	Zeit	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
