# Cry of Fear: Enhanced - French strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\french.
english	translation	where
Donate	Faire un don	menus/CryOfFear.cpp:1053
Soundtrack 1	Bande-son 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Bande-son 2	menus/CryOfFear.cpp:1055
Clothes	Vêtements	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EXTRAS	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas « ruMpel » Rönnberg et James « Minuit » Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Créateurs de Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Un projet communautaire	menus/CryOfFear.cpp:1225
Project site	Site du projet	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (TRADUCTION POLONAISE)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	CRÉDITS	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Salle secrète, livre d'indices vide, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Un drapeau pour les trois ; MP5 via Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Drapeau inconnu (ligne 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Drapeau inconnu (ligne 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Drapeau inconnu (ligne 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS aux munitions infinies	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Drapeau inconnu (ligne 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Drapeau inconnu (ligne 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Drapeau inconnu (ligne 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	Tenue David Leatherhoff	menus/CryOfFear.cpp:1529
ModDB hoodie	Sweat ModDB	menus/CryOfFear.cpp:1533
Hello Kitty suit	Tenue Hello Kitty	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Tenue Afraid of Monsters	menus/CryOfFear.cpp:1541
Camouflage hoodie	Sweat camouflage	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Sweat Half-Life Creations	menus/CryOfFear.cpp:1549
Black Metal suit	Tenue Black Metal	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Sweat Team Psykskallar	menus/CryOfFear.cpp:1557
Awesome suit	Tenue Awesome	menus/CryOfFear.cpp:1561
Sick Simon suit	Tenue Simon malade	menus/CryOfFear.cpp:1565
AoM Twitcher suit	Tenue AoM Twitcher	menus/CryOfFear.cpp:1569
Custom hoodies	Sweats personnalisés	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	Hache de David Leatherhoff	menus/CryOfFear.cpp:1577
Digital camera	Appareil photo numérique	menus/CryOfFear.cpp:1581
Simon's book	Livre de Simon	menus/CryOfFear.cpp:1585
Developer commentary	Commentaires des développeurs	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	À activer dans Nouvelle partie	menus/CryOfFear.cpp:1590
Hidden package	Colis caché	menus/CryOfFear.cpp:1593
Tied to the secret ending	Lié à la fin secrète	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Masque à gaz (vision nocturne)	menus/CryOfFear.cpp:1597
First hint page	Première page d'indices	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	« How To Unlock Book Pages »	menus/CryOfFear.cpp:1602
Second hint page	Deuxième page d'indices	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	« Ranking System Explained »	menus/CryOfFear.cpp:1606
Third hint page	Troisième page d'indices	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	« How To Unlock Hoodies »	menus/CryOfFear.cpp:1610
Fourth hint page	Quatrième page d'indices	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	« How To Unlock Secret Items »	menus/CryOfFear.cpp:1614
Fifth hint page	Cinquième page d'indices	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	« How To Unlock Secret Weapons »	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Drapeau inconnu (ligne 81)	menus/CryOfFear.cpp:1621
Doctor mode	Mode Docteur	menus/CryOfFear.cpp:1625
Nightmare difficulty	Difficulté Cauchemar	menus/CryOfFear.cpp:1629
Unlocked	Débloqué	menus/CryOfFear.cpp:1838
UNLOCKABLES	BONUS	menus/CryOfFear.cpp:1900
Unlockable	Bonus	menus/CryOfFear.cpp:1902
How to unlock	Comment le débloquer	menus/CryOfFear.cpp:1903
Status	État	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	L'état provient de cryoffear/scriptsettings.dat : chaque drapeau est une ligne de 20 octets comparée aux deux valeurs que client.dll connaît pour lui. « ? » signifie que le fichier manque ou que la ligne ne correspond à aucune.	menus/CryOfFear.cpp:1912
Open original gallery	Ouvrir la galerie d'origine	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Charger la carte galerie c_unlockables, l'écran d'origine du jeu	menus/CryOfFear.cpp:1917
GAME OVER	PARTIE TERMINÉE	menus/CryOfFear.cpp:1995
Game over	Partie terminée	menus/CryOfFear.cpp:2172
Exit	Quitter	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Rechercher des mises à jour sur Internet ?	menus/Configuration.cpp:56
Game	Jeu	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Commandes	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Audio	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Vidéo	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Visée, souris, sauvegardes et langue	menus/Configuration.cpp:74
Change keyboard and mouse settings	Modifier les réglages du clavier et de la souris	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Modifier le volume et la qualité du son	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Modifier la résolution, le mode vidéo et le gamma	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	OPTIONS	menus/Configuration.cpp:81
Touch	Tactile	menus/Configuration.cpp:108
Change touch settings and buttons	Modifier les réglages et boutons tactiles	menus/Configuration.cpp:108
Joystick	Manette	menus/Configuration.cpp:110
Change gamepad axis and button settings	Modifier les axes et boutons de la manette	menus/Configuration.cpp:110
Update	Mise à jour	menus/Configuration.cpp:112
Check for updates	Rechercher des mises à jour	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Maintenir	menus/AdvancedControls.cpp:97
Toggle	Basculer	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (sous-titres)	menus/AdvancedControls.cpp:282
not installed	non installé	menus/AdvancedControls.cpp:298
GAME	JEU	menus/AdvancedControls.cpp:619
Crosshair	Réticule	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Afficher le réticule de visée	menus/AdvancedControls.cpp:626
Reverse mouse	Inverser la souris	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Inverser l'axe vertical de la souris	menus/AdvancedControls.cpp:630
Mouse look	Vue à la souris	menus/AdvancedControls.cpp:635
Use the mouse to look around	Regarder autour de soi avec la souris	menus/AdvancedControls.cpp:635
Look spring	Recentrage de la vue	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	La vue revient droit devant quand vous avancez	menus/AdvancedControls.cpp:641
Look strafe	Pas de côté à la souris	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Avec la touche de vue à la souris, les mouvements gauche-droite font un pas de côté au lieu de tourner	menus/AdvancedControls.cpp:645
Mouse filter	Filtre de souris	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Lisser les mouvements de la souris	menus/AdvancedControls.cpp:649
Auto-Aim	Visée automatique	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Vise automatiquement les ennemis.	menus/AdvancedControls.cpp:653
Raw mouse input	Entrée souris brute	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Lire la souris directement, sans l'accélération du pointeur du système	menus/AdvancedControls.cpp:657
Mouse sensitivity	Sensibilité de la souris	menus/AdvancedControls.cpp:661
Input devices	Périphériques	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Activer ou désactiver souris et commandes tactiles	menus/AdvancedControls.cpp:665
Enable console	Activer la console	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Autoriser la console développeur sans les options -console ou -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Sauvegarde depuis la pause	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Autoriser la sauvegarde depuis le menu pause dans les cinq emplacements partagés de Cry of Fear	menus/AdvancedControls.cpp:678
Show console notifications	Afficher les notifications de la console	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Affiche les dernières lignes de la console en haut à gauche pendant le jeu	menus/AdvancedControls.cpp:706
Subtitle language	Langue des sous-titres	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Langue des sous-titres et des documents du jeu	menus/AdvancedControls.cpp:686
HUD scale	Taille de l'ATH	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Taille de l'ATH, de l'inventaire et des sous-titres. Auto garde la même proportion de l'écran à toute résolution	menus/AdvancedControls.cpp:693
Aim down sights	Visée à la mire	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Maintenir : viser tant que la touche est enfoncée. Basculer : appuyer pour viser, appuyer à nouveau pour arrêter	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Langue des menus ainsi que des sous-titres, documents et panneaux du jeu	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Textes tout de suite, panneaux à la carte suivante, autres images après redémarrage.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Enregistrer et revenir	menus/InputDevices.cpp:81
Ignore mouse	Ignorer la souris	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Nécessaire sur certains serveurs. Désactive aussi la souris dans le menu	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Sans écran tactile ni manette, vous ne pourrez pas jouer sans souris.\nDésactiver la souris ?	menus/InputDevices.cpp:94
Enable touch	Activer le tactile	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Commandes à l'écran pour écran tactile	menus/InputDevices.cpp:107
Enable the joystick	Activer la manette	menus/InputDevices.cpp:111
Enable using game controller in game	Utiliser une manette en jeu	menus/InputDevices.cpp:111
Evdev input (root)	Entrée evdev (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Active le contrôle complet souris et clavier sur Android	menus/InputDevices.cpp:115
CONTROLS	COMMANDES	menus/Controls.cpp:234
Action	Action	menus/Controls.cpp:238
KEY/BUTTON	TOUCHE	menus/Controls.cpp:239
ALTERNATE	ALTERNATIVE	menus/Controls.cpp:240
Press a key or button	Appuyez sur une touche	menus/Controls.cpp:242
Reset all actions to use their default keys?	Rétablir les touches par défaut pour toutes les actions ?	menus/Controls.cpp:245
Use Defaults	Par défaut	menus/Controls.cpp:252
Adv. Controls	Avancé	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	APPUYEZ SUR UNE TOUCHE	menus/Controls.cpp:282
Video options	Options vidéo	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Régler la taille de l'image, le gamma et la qualité d'image.	menus/Video.cpp:76
Video modes	Modes vidéo	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Régler le mode vidéo et l'accélération 3D.	menus/Video.cpp:77
Go back to the previous menu	Retour au menu précédent	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Luminosité	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Contraste	menus/VideoModes.cpp:524
Field of view	Champ de vision	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Champ de vision de base en 4:3 ; 90 est la valeur de Cry of Fear. La visée et les caméras scriptées ne changent pas.	menus/VideoModes.cpp:533
Viewmodel FOV	Champ de vision de l'arme	menus/VideoModes.cpp:535
Follow FOV	Comme le champ	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Champ de vision de l'arme tenue uniquement. Au plus bas, il suit celui du monde, comme dans le jeu d'origine.	menus/VideoModes.cpp:541
Detail textures	Textures de détail	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	Utiliser les VBO	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Ondulations de l'eau	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Surbrillance	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Filtrage des textures	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	Taille auto de l'ATH	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1ATTENTION : option expérimentale, elle peut casser des mods !^7\n\nRelancez le jeu ou reconnectez-vous au serveur pour appliquer les réglages.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Non pris en charge par votre carte graphique	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Garder cette résolution ? Encore %i secondes	menus/VideoModes.cpp:913
Windowed	Fenêtré	menus/VideoModes.cpp:933
Fullscreen	Plein écran	menus/VideoModes.cpp:934
Borderless	Sans bordure	menus/VideoModes.cpp:935
VIDEO	VIDÉO	menus/VideoModes.cpp:946
Resolution	Résolution	menus/VideoModes.cpp:949
Vertical sync	Synchronisation verticale	menus/VideoModes.cpp:952
Restart the game to apply changes	Relancez le jeu pour appliquer les changements	menus/VideoModes.cpp:961
Renderer	Moteur de rendu	menus/VideoModes.cpp:966
Window mode	Mode d'affichage	menus/VideoModes.cpp:973
Apply	Appliquer	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	OPTIONS VIDÉO	menus/VideoOptions.cpp:170
Screen size	Taille de l'écran	menus/VideoOptions.cpp:181
AUDIO	AUDIO	menus/Audio.cpp:128
Sound effects volume	Volume des effets	menus/Audio.cpp:130
MP3 volume *	Volume de la musique *	menus/Audio.cpp:136
Menu sounds	Sons du menu	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Volume des sons de boutons et de survol du menu	menus/Audio.cpp:146
HEV suit volume	Volume de la combinaison HEV	menus/Audio.cpp:153
Disable DSP effects	Désactiver les effets DSP	menus/Audio.cpp:159
Use Alpha DSP effects	Effets DSP Alpha	menus/Audio.cpp:163
Mute when inactive	Couper le son en arrière-plan	menus/Audio.cpp:167
Enable vibration	Activer la vibration	menus/Audio.cpp:171
Vibration	Vibration	menus/Audio.cpp:178
No preview	Pas d'aperçu	menus/LoadGame.cpp:235
Slot %i	Empl. %i	menus/LoadGame.cpp:273
Empty	Vide	menus/LoadGame.cpp:300
Current	Actuelle	menus/LoadGame.cpp:321
New saved game	Nouvelle sauvegarde	menus/LoadGame.cpp:322
New	Nouvelle	menus/LoadGame.cpp:323
[quick]	[rapide]	menus/LoadGame.cpp:394
[autosave]	[auto]	menus/LoadGame.cpp:396
Save	Sauvegarde	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Charger	menus/LoadGame.cpp:452
Delete	Supprimer	menus/LoadGame.cpp:457
Time	Heure	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Temps de jeu	menus/LoadGame.cpp:471
Slot	Empl.	menus/LoadGame.cpp:474
Date	Date	menus/LoadGame.cpp:476
Delete this saved game?	Supprimer cette sauvegarde ?	menus/LoadGame.cpp:483
Overwrite this saved game?	Écraser cette sauvegarde ?	menus/LoadGame.cpp:487
Overwrite	Écraser	menus/LoadGame.cpp:488
LOAD GAME	CHARGER UNE PARTIE	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	SUPPRIMER LA SAUVEGARDE	menus/LoadGame.cpp:497
OVERWRITE SAVE	ÉCRASER LA SAUVEGARDE	menus/LoadGame.cpp:498
SAVE GAME	SAUVEGARDER	menus/LoadGame.cpp:518
