# Cry of Fear: Enhanced - Spanish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\spanish.
english	translation	where
Donate	Donar	menus/CryOfFear.cpp:1053
Soundtrack 1	Banda sonora 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Banda sonora 2	menus/CryOfFear.cpp:1055
Clothes	Ropa	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EXTRAS	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas «ruMpel» Rönnberg y James «Minuit» Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Creadores de Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Un proyecto de la comunidad	menus/CryOfFear.cpp:1225
Project site	Web del proyecto	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (TRADUCCIÓN AL POLACO)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	CRÉDITOS	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Sala secreta, libro de pistas vacío, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Un indicador para los tres; MP5 vía Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Indicador desconocido (línea 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Indicador desconocido (línea 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Indicador desconocido (línea 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS con munición infinita	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Indicador desconocido (línea 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Indicador desconocido (línea 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Indicador desconocido (línea 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	Traje de David Leatherhoff	menus/CryOfFear.cpp:1529
ModDB hoodie	Sudadera de ModDB	menus/CryOfFear.cpp:1533
Hello Kitty suit	Traje de Hello Kitty	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Traje de Afraid of Monsters	menus/CryOfFear.cpp:1541
Camouflage hoodie	Sudadera de camuflaje	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Sudadera de Half-Life Creations	menus/CryOfFear.cpp:1549
Black Metal suit	Traje Black Metal	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Sudadera de Team Psykskallar	menus/CryOfFear.cpp:1557
Awesome suit	Traje Awesome	menus/CryOfFear.cpp:1561
Sick Simon suit	Traje de Simon enfermo	menus/CryOfFear.cpp:1565
AoM Twitcher suit	Traje de AoM Twitcher	menus/CryOfFear.cpp:1569
Custom hoodies	Sudaderas personalizadas	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	Hacha de David Leatherhoff	menus/CryOfFear.cpp:1577
Digital camera	Cámara digital	menus/CryOfFear.cpp:1581
Simon's book	Libro de Simon	menus/CryOfFear.cpp:1585
Developer commentary	Comentarios de los desarrolladores	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Actívalo en Nueva partida	menus/CryOfFear.cpp:1590
Hidden package	Paquete oculto	menus/CryOfFear.cpp:1593
Tied to the secret ending	Ligado al final secreto	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Máscara de gas (visión nocturna)	menus/CryOfFear.cpp:1597
First hint page	Primera página de pistas	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	«How To Unlock Book Pages»	menus/CryOfFear.cpp:1602
Second hint page	Segunda página de pistas	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	«Ranking System Explained»	menus/CryOfFear.cpp:1606
Third hint page	Tercera página de pistas	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	«How To Unlock Hoodies»	menus/CryOfFear.cpp:1610
Fourth hint page	Cuarta página de pistas	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	«How To Unlock Secret Items»	menus/CryOfFear.cpp:1614
Fifth hint page	Quinta página de pistas	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	«How To Unlock Secret Weapons»	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Indicador desconocido (línea 81)	menus/CryOfFear.cpp:1621
Doctor mode	Modo Doctor	menus/CryOfFear.cpp:1625
Nightmare difficulty	Dificultad Pesadilla	menus/CryOfFear.cpp:1629
Unlocked	Desbloqueado	menus/CryOfFear.cpp:1838
UNLOCKABLES	DESBLOQUEABLES	menus/CryOfFear.cpp:1900
Unlockable	Desbloqueable	menus/CryOfFear.cpp:1902
How to unlock	Cómo desbloquearlo	menus/CryOfFear.cpp:1903
Status	Estado	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	El estado sale de cryoffear/scriptsettings.dat: cada indicador es una línea de 20 bytes comparada con los dos valores que client.dll conoce. «?» significa que falta el archivo o que la línea no coincide con ninguno.	menus/CryOfFear.cpp:1912
Open original gallery	Abrir la galería original	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Cargar el mapa de galería c_unlockables, la pantalla original del juego	menus/CryOfFear.cpp:1917
GAME OVER	FIN DE LA PARTIDA	menus/CryOfFear.cpp:1995
Game over	Fin de la partida	menus/CryOfFear.cpp:2172
Exit	Salir	menus/CryOfFear.cpp:2179
Check the Internet for updates?	¿Buscar actualizaciones en Internet?	menus/Configuration.cpp:56
Game	Juego	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Controles	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Audio	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Vídeo	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Apuntado, ratón, guardado e idioma	menus/Configuration.cpp:74
Change keyboard and mouse settings	Cambiar los ajustes de teclado y ratón	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Cambiar el volumen y la calidad del sonido	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Cambiar la resolución, el modo de vídeo y la gamma	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	OPCIONES	menus/Configuration.cpp:81
Touch	Táctil	menus/Configuration.cpp:108
Change touch settings and buttons	Cambiar los ajustes y botones táctiles	menus/Configuration.cpp:108
Joystick	Mando	menus/Configuration.cpp:110
Change gamepad axis and button settings	Cambiar los ejes y botones del mando	menus/Configuration.cpp:110
Update	Actualizar	menus/Configuration.cpp:112
Check for updates	Buscar actualizaciones	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Mantener	menus/AdvancedControls.cpp:97
Toggle	Alternar	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (subtítulos)	menus/AdvancedControls.cpp:282
not installed	no instalado	menus/AdvancedControls.cpp:298
GAME	JUEGO	menus/AdvancedControls.cpp:619
Crosshair	Punto de mira	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Mostrar el punto de mira del arma	menus/AdvancedControls.cpp:626
Reverse mouse	Invertir ratón	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Invertir el eje vertical del ratón	menus/AdvancedControls.cpp:630
Mouse look	Mirar con el ratón	menus/AdvancedControls.cpp:635
Use the mouse to look around	Usar el ratón para mirar alrededor	menus/AdvancedControls.cpp:635
Look spring	Recentrar la vista	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	Al avanzar, la vista vuelve a mirar al frente	menus/AdvancedControls.cpp:641
Look strafe	Desplazamiento lateral con ratón	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Con la tecla de mirar con el ratón, mover a izquierda y derecha desplaza en lateral en vez de girar	menus/AdvancedControls.cpp:645
Mouse filter	Filtro del ratón	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Suavizar el movimiento del ratón	menus/AdvancedControls.cpp:649
Auto-Aim	Apuntado automático	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Apunta automáticamente a los enemigos.	menus/AdvancedControls.cpp:653
Raw mouse input	Entrada directa del ratón	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Leer el ratón directamente del dispositivo, sin la aceleración del puntero del sistema	menus/AdvancedControls.cpp:657
Mouse sensitivity	Sensibilidad del ratón	menus/AdvancedControls.cpp:661
Input devices	Dispositivos de entrada	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Activar o desactivar el ratón y los controles táctiles	menus/AdvancedControls.cpp:665
Enable console	Activar la consola	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Permitir la consola de desarrollador sin los parámetros -console o -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Guardar desde la pausa	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Permitir guardar desde el menú de pausa en las cinco ranuras compartidas de Cry of Fear	menus/AdvancedControls.cpp:678
Show console notifications	Mostrar notificaciones de la consola	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Muestra las últimas líneas de la consola en la esquina superior izquierda durante el juego	menus/AdvancedControls.cpp:706
Subtitle language	Idioma de los subtítulos	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Idioma de los subtítulos y de los documentos del juego	menus/AdvancedControls.cpp:686
HUD scale	Tamaño del HUD	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Tamaño del HUD, el inventario y los subtítulos. Auto mantiene la misma proporción de pantalla en cualquier resolución	menus/AdvancedControls.cpp:693
Aim down sights	Apuntar con la mira	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Mantener: apuntas mientras mantienes la tecla. Alternar: pulsa una vez para apuntar y otra para dejar de hacerlo	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Idioma de los menús y de los subtítulos, documentos y carteles del juego	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Textos al instante, carteles en el siguiente mapa, el resto de gráficos al reiniciar.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Guardar los cambios y volver	menus/InputDevices.cpp:81
Ignore mouse	Ignorar el ratón	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Necesario en algunos servidores. También desactiva el ratón en el menú	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Sin pantalla táctil ni mando no podrás jugar sin ratón.\n¿Seguro que quieres desactivarlo?	menus/InputDevices.cpp:94
Enable touch	Activar controles táctiles	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Controles en pantalla para pantallas táctiles	menus/InputDevices.cpp:107
Enable the joystick	Activar el mando	menus/InputDevices.cpp:111
Enable using game controller in game	Usar un mando en el juego	menus/InputDevices.cpp:111
Evdev input (root)	Entrada evdev (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Activa el control completo con ratón y teclado en Android	menus/InputDevices.cpp:115
CONTROLS	CONTROLES	menus/Controls.cpp:234
Action	Acción	menus/Controls.cpp:238
KEY/BUTTON	TECLA/BOTÓN	menus/Controls.cpp:239
ALTERNATE	ALTERNATIVA	menus/Controls.cpp:240
Press a key or button	Pulsa una tecla o botón	menus/Controls.cpp:242
Reset all actions to use their default keys?	¿Restablecer las teclas predeterminadas de todas las acciones?	menus/Controls.cpp:245
Use Defaults	Predeterminado	menus/Controls.cpp:252
Adv. Controls	Avanzado	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	PULSA UNA TECLA	menus/Controls.cpp:282
Video options	Opciones de vídeo	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Ajustar el tamaño de pantalla, la gamma y la calidad de imagen.	menus/Video.cpp:76
Video modes	Modos de vídeo	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Ajustar el modo de vídeo y la aceleración 3D.	menus/Video.cpp:77
Go back to the previous menu	Volver al menú anterior	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Brillo	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Contraste	menus/VideoModes.cpp:524
Field of view	Campo de visión	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Campo de visión base en 4:3; 90 es el de Cry of Fear. Apuntar con la mira y las cámaras con guion no cambian.	menus/VideoModes.cpp:533
Viewmodel FOV	Campo de visión del arma	menus/VideoModes.cpp:535
Follow FOV	Igual al campo	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Campo de visión solo del arma en mano. En el valor mínimo sigue al del mundo, como en el juego original.	menus/VideoModes.cpp:541
Detail textures	Texturas de detalle	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	Usar VBO	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Ondas en el agua	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Sobrebrillo	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Filtrado de texturas	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	Escalar HUD automáticamente	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1AVISO: opción experimental, ¡activarla puede romper mods!^7\n\nReinicia el juego o vuelve a conectarte al servidor para aplicar los ajustes.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Tu tarjeta gráfica no lo admite	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	¿Mantener esta resolución? Quedan %i segundos	menus/VideoModes.cpp:913
Windowed	Ventana	menus/VideoModes.cpp:933
Fullscreen	Pantalla completa	menus/VideoModes.cpp:934
Borderless	Sin bordes	menus/VideoModes.cpp:935
VIDEO	VÍDEO	menus/VideoModes.cpp:946
Resolution	Resolución	menus/VideoModes.cpp:949
Vertical sync	Sincronización vertical	menus/VideoModes.cpp:952
Restart the game to apply changes	Reinicia el juego para aplicar los cambios	menus/VideoModes.cpp:961
Renderer	Renderizador	menus/VideoModes.cpp:966
Window mode	Modo de ventana	menus/VideoModes.cpp:973
Apply	Aplicar	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	OPCIONES DE VÍDEO	menus/VideoOptions.cpp:170
Screen size	Tamaño de pantalla	menus/VideoOptions.cpp:181
AUDIO	AUDIO	menus/Audio.cpp:128
Sound effects volume	Volumen de efectos	menus/Audio.cpp:130
MP3 volume *	Volumen de la música *	menus/Audio.cpp:136
Menu sounds	Sonidos del menú	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Volumen de los sonidos de botones del menú	menus/Audio.cpp:146
HEV suit volume	Volumen del traje HEV	menus/Audio.cpp:153
Disable DSP effects	Desactivar efectos DSP	menus/Audio.cpp:159
Use Alpha DSP effects	Efectos DSP Alpha	menus/Audio.cpp:163
Mute when inactive	Silenciar en segundo plano	menus/Audio.cpp:167
Enable vibration	Activar vibración	menus/Audio.cpp:171
Vibration	Vibración	menus/Audio.cpp:178
No preview	Sin vista previa	menus/LoadGame.cpp:235
Slot %i	Ranura %i	menus/LoadGame.cpp:273
Empty	Vacía	menus/LoadGame.cpp:300
Current	Actual	menus/LoadGame.cpp:321
New saved game	Nueva partida guardada	menus/LoadGame.cpp:322
New	Nueva	menus/LoadGame.cpp:323
[quick]	[rápida]	menus/LoadGame.cpp:394
[autosave]	[autoguardado]	menus/LoadGame.cpp:396
Save	Partida	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Cargar	menus/LoadGame.cpp:452
Delete	Borrar	menus/LoadGame.cpp:457
Time	Hora	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Tiempo de juego	menus/LoadGame.cpp:471
Slot	Ranura	menus/LoadGame.cpp:474
Date	Fecha	menus/LoadGame.cpp:476
Delete this saved game?	¿Borrar esta partida guardada?	menus/LoadGame.cpp:483
Overwrite this saved game?	¿Sobrescribir esta partida guardada?	menus/LoadGame.cpp:487
Overwrite	Sobrescribir	menus/LoadGame.cpp:488
LOAD GAME	CARGAR PARTIDA	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	BORRAR PARTIDA	menus/LoadGame.cpp:497
OVERWRITE SAVE	SOBRESCRIBIR PARTIDA	menus/LoadGame.cpp:498
SAVE GAME	GUARDAR PARTIDA	menus/LoadGame.cpp:518
