# Cry of Fear: Enhanced - Norwegian (Bokmål) strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\norwegian.
english	translation	where
Donate	Doner	menus/CryOfFear.cpp:1053
Soundtrack 1	Lydspor 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Lydspor 2	menus/CryOfFear.cpp:1055
Clothes	Klær	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EKSTRA	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas «ruMpel» Rönnberg og James «Minuit» Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Skaperne av Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Et fellesskapsprosjekt	menus/CryOfFear.cpp:1225
Project site	Prosjektside	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (POLSK OVERSETTELSE)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	RULLETEKST	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Hemmelig rom, tom hintbok, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Ett flagg for alle tre; MP5 via Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Ukjent flagg (linje 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Ukjent flagg (linje 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Ukjent flagg (linje 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS med uendelig ammunisjon	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Ukjent flagg (linje 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Ukjent flagg (linje 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Ukjent flagg (linje 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	David Leatherhoff-drakt	menus/CryOfFear.cpp:1529
ModDB hoodie	ModDB-hettegenser	menus/CryOfFear.cpp:1533
Hello Kitty suit	Hello Kitty-drakt	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Afraid of Monsters-drakt	menus/CryOfFear.cpp:1541
Camouflage hoodie	Kamuflasjehettegenser	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Half-Life Creations-hettegenser	menus/CryOfFear.cpp:1549
Black Metal suit	Black Metal-drakt	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Team Psykskallar-hettegenser	menus/CryOfFear.cpp:1557
Awesome suit	Awesome-drakt	menus/CryOfFear.cpp:1561
Sick Simon suit	Syk Simon-drakt	menus/CryOfFear.cpp:1565
AoM Twitcher suit	AoM Twitcher-drakt	menus/CryOfFear.cpp:1569
Custom hoodies	Egne hettegensere	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	David Leatherhoffs øks	menus/CryOfFear.cpp:1577
Digital camera	Digitalkamera	menus/CryOfFear.cpp:1581
Simon's book	Simons bok	menus/CryOfFear.cpp:1585
Developer commentary	Utviklerkommentarer	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Slå på under Nytt spill	menus/CryOfFear.cpp:1590
Hidden package	Skjult pakke	menus/CryOfFear.cpp:1593
Tied to the secret ending	Knyttet til den hemmelige slutten	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Gassmaske (nattsyn)	menus/CryOfFear.cpp:1597
First hint page	Første hintside	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	«How To Unlock Book Pages»	menus/CryOfFear.cpp:1602
Second hint page	Andre hintside	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	«Ranking System Explained»	menus/CryOfFear.cpp:1606
Third hint page	Tredje hintside	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	«How To Unlock Hoodies»	menus/CryOfFear.cpp:1610
Fourth hint page	Fjerde hintside	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	«How To Unlock Secret Items»	menus/CryOfFear.cpp:1614
Fifth hint page	Femte hintside	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	«How To Unlock Secret Weapons»	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Ukjent flagg (linje 81)	menus/CryOfFear.cpp:1621
Doctor mode	Doktormodus	menus/CryOfFear.cpp:1625
Nightmare difficulty	Vanskelighetsgrad Mareritt	menus/CryOfFear.cpp:1629
Unlocked	Låst opp	menus/CryOfFear.cpp:1838
UNLOCKABLES	OPPLÅSBART	menus/CryOfFear.cpp:1900
Unlockable	Innhold	menus/CryOfFear.cpp:1902
How to unlock	Slik låser du opp	menus/CryOfFear.cpp:1903
Status	Status	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	Statusen kommer fra cryoffear/scriptsettings.dat: hvert flagg er en linje på 20 byte som sammenlignes med de to verdiene client.dll kjenner for det. «?» betyr at filen mangler eller at linjen ikke passer med noen av dem.	menus/CryOfFear.cpp:1912
Open original gallery	Åpne originalgalleriet	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Last inn gallerikartet c_unlockables, spillets originale skjerm	menus/CryOfFear.cpp:1917
GAME OVER	SPILLET ER SLUTT	menus/CryOfFear.cpp:1995
Game over	Spillet er slutt	menus/CryOfFear.cpp:2172
Exit	Avslutt	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Se etter oppdateringer på Internett?	menus/Configuration.cpp:56
Game	Spill	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Kontroller	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Lyd	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Grafikk	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Sikting, mus, lagring og språk	menus/Configuration.cpp:74
Change keyboard and mouse settings	Endre tastatur- og musinnstillinger	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Endre lydvolum og lydkvalitet	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Endre oppløsning, skjermmodus og gamma	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	INNSTILLINGER	menus/Configuration.cpp:81
Touch	Berøring	menus/Configuration.cpp:108
Change touch settings and buttons	Endre berøringsinnstillinger og -knapper	menus/Configuration.cpp:108
Joystick	Kontroller	menus/Configuration.cpp:110
Change gamepad axis and button settings	Endre akser og knapper på kontrolleren	menus/Configuration.cpp:110
Update	Oppdatering	menus/Configuration.cpp:112
Check for updates	Se etter oppdateringer	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Hold inne	menus/AdvancedControls.cpp:97
Toggle	Veksle	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (undertekster)	menus/AdvancedControls.cpp:282
not installed	ikke installert	menus/AdvancedControls.cpp:298
GAME	SPILL	menus/AdvancedControls.cpp:619
Crosshair	Trådkors	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Vis trådkorset for våpenet	menus/AdvancedControls.cpp:626
Reverse mouse	Inverter musen	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Inverter musens loddrette akse	menus/AdvancedControls.cpp:630
Mouse look	Se med musen	menus/AdvancedControls.cpp:635
Use the mouse to look around	Bruk musen til å se deg rundt	menus/AdvancedControls.cpp:635
Look spring	Blikket fjærer tilbake	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	Når du går fremover, går blikket tilbake til rett frem	menus/AdvancedControls.cpp:641
Look strafe	Sidelengs med musen	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Sammen med tasten for å se med musen flytter bevegelser til venstre og høyre deg sidelengs i stedet for å snu	menus/AdvancedControls.cpp:645
Mouse filter	Musfilter	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Jevn ut musebevegelser	menus/AdvancedControls.cpp:649
Auto-Aim	Automatisk sikting	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Sikter automatisk på fiender.	menus/AdvancedControls.cpp:653
Raw mouse input	Direkte musinndata	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Les musen direkte fra enheten, uten pekerakselerasjonen i operativsystemet	menus/AdvancedControls.cpp:657
Mouse sensitivity	Musfølsomhet	menus/AdvancedControls.cpp:661
Input devices	Inndataenheter	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Slå mus og berøringskontroller av eller på	menus/AdvancedControls.cpp:665
Enable console	Slå på konsollen	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Tillat utviklerkonsollen uten oppstartsvalget -console eller -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Lagring fra pausemenyen	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Tillat lagring fra pausemenyen i de fem delte lagringsplassene i Cry of Fear	menus/AdvancedControls.cpp:678
Show console notifications	Vis konsollvarsler	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Viser de nyeste konsollinjene øverst til venstre under spillet	menus/AdvancedControls.cpp:706
Subtitle language	Språk for undertekster	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Språket i undertekstene og dokumentene i spillet	menus/AdvancedControls.cpp:686
HUD scale	HUD-størrelse	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Størrelsen på HUD, inventar og undertekster. Auto beholder samme andel av skjermen i alle oppløsninger	menus/AdvancedControls.cpp:693
Aim down sights	Sikte med siktemidler	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Hold inne: sikt så lenge siktetasten holdes inne. Veksle: trykk én gang for å sikte og igjen for å slutte	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Språket i menyene og i spillets undertekster, dokumenter og skilt	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Tekst straks, skilt på neste kart, resten av grafikken etter omstart.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Lagre endringene og gå tilbake	menus/InputDevices.cpp:81
Ignore mouse	Ignorer musen	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Nødvendig på noen servere. Slår også av musen i menyen	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Uten berøringsskjerm eller kontroller kan du ikke spille uten mus.\nVil du virkelig slå av musen?	menus/InputDevices.cpp:94
Enable touch	Slå på berøring	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Kontroller på skjermen for berøringsskjerm	menus/InputDevices.cpp:107
Enable the joystick	Slå på kontrolleren	menus/InputDevices.cpp:111
Enable using game controller in game	Bruk en spillkontroller i spillet	menus/InputDevices.cpp:111
Evdev input (root)	Evdev-inndata (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Slår på full mus- og tastaturstyring på Android	menus/InputDevices.cpp:115
CONTROLS	KONTROLLER	menus/Controls.cpp:234
Action	Handling	menus/Controls.cpp:238
KEY/BUTTON	TAST/KNAPP	menus/Controls.cpp:239
ALTERNATE	ALTERNATIV	menus/Controls.cpp:240
Press a key or button	Trykk på en tast eller knapp	menus/Controls.cpp:242
Reset all actions to use their default keys?	Tilbakestille alle handlinger til standardtastene?	menus/Controls.cpp:245
Use Defaults	Standard	menus/Controls.cpp:252
Adv. Controls	Avansert	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	TRYKK PÅ EN TAST	menus/Controls.cpp:282
Video options	Grafikkinnstillinger	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Still inn skjermstørrelse, gamma og bildekvalitet.	menus/Video.cpp:76
Video modes	Skjermmoduser	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Still inn skjermmodus og 3D-akselerasjon.	menus/Video.cpp:77
Go back to the previous menu	Tilbake til forrige meny	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Lysstyrke	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Kontrast	menus/VideoModes.cpp:524
Field of view	Synsfelt	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Grunnsynsfelt for 4:3; 90 er verdien i Cry of Fear. Sikting og skriptede kameraer endres ikke.	menus/VideoModes.cpp:533
Viewmodel FOV	Våpenets synsfelt	menus/VideoModes.cpp:535
Follow FOV	Som synsfeltet	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Synsfeltet for bare våpenet du holder. På laveste trinn følger det verdenens synsfelt, som i originalen.	menus/VideoModes.cpp:541
Detail textures	Detaljteksturer	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	Bruk VBO	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Krusninger i vann	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Overlys	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Teksturfiltrering	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	Skaler HUD automatisk	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1ADVARSEL: eksperimentelt valg, det kan ødelegge mods!^7\n\nStart spillet på nytt eller koble til serveren igjen for å ta i bruk innstillingene.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Støttes ikke av skjermkortet ditt	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Beholde denne oppløsningen? %i sekunder igjen	menus/VideoModes.cpp:913
Windowed	Vindu	menus/VideoModes.cpp:933
Fullscreen	Fullskjerm	menus/VideoModes.cpp:934
Borderless	Uten ramme	menus/VideoModes.cpp:935
VIDEO	GRAFIKK	menus/VideoModes.cpp:946
Resolution	Oppløsning	menus/VideoModes.cpp:949
Vertical sync	Vertikal synkronisering	menus/VideoModes.cpp:952
Restart the game to apply changes	Start spillet på nytt for å ta i bruk endringene	menus/VideoModes.cpp:961
Renderer	Renderer	menus/VideoModes.cpp:966
Window mode	Vindusmodus	menus/VideoModes.cpp:973
Apply	Bruk	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	GRAFIKKINNSTILLINGER	menus/VideoOptions.cpp:170
Screen size	Skjermstørrelse	menus/VideoOptions.cpp:181
AUDIO	LYD	menus/Audio.cpp:128
Sound effects volume	Volum for effekter	menus/Audio.cpp:130
MP3 volume *	Musikkvolum *	menus/Audio.cpp:136
Menu sounds	Menylyder	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Volum for menyens knappe- og pekelyder	menus/Audio.cpp:146
HEV suit volume	Volum for HEV-drakten	menus/Audio.cpp:153
Disable DSP effects	Slå av DSP-effekter	menus/Audio.cpp:159
Use Alpha DSP effects	Bruk Alpha-DSP-effekter	menus/Audio.cpp:163
Mute when inactive	Demp i bakgrunnen	menus/Audio.cpp:167
Enable vibration	Slå på vibrasjon	menus/Audio.cpp:171
Vibration	Vibrasjon	menus/Audio.cpp:178
No preview	Ingen forhåndsvisning	menus/LoadGame.cpp:235
Slot %i	Plass %i	menus/LoadGame.cpp:273
Empty	Tom	menus/LoadGame.cpp:300
Current	Nåværende	menus/LoadGame.cpp:321
New saved game	Nytt lagret spill	menus/LoadGame.cpp:322
New	Ny	menus/LoadGame.cpp:323
[quick]	[hurtig]	menus/LoadGame.cpp:394
[autosave]	[autolagring]	menus/LoadGame.cpp:396
Save	Lagret spill	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Last inn	menus/LoadGame.cpp:452
Delete	Slett	menus/LoadGame.cpp:457
Time	Tid	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Spilletid	menus/LoadGame.cpp:471
Slot	Plass	menus/LoadGame.cpp:474
Date	Dato	menus/LoadGame.cpp:476
Delete this saved game?	Slette dette lagrede spillet?	menus/LoadGame.cpp:483
Overwrite this saved game?	Overskrive dette lagrede spillet?	menus/LoadGame.cpp:487
Overwrite	Overskriv	menus/LoadGame.cpp:488
LOAD GAME	LAST INN SPILL	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	SLETT LAGRET SPILL	menus/LoadGame.cpp:497
OVERWRITE SAVE	OVERSKRIV LAGRET SPILL	menus/LoadGame.cpp:498
SAVE GAME	LAGRE SPILL	menus/LoadGame.cpp:518
