# Cry of Fear: Enhanced - Swedish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\swedish.
english	translation	where
Soundtrack 1	Soundtrack 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Soundtrack 2	menus/CryOfFear.cpp:1055
Clothes	Kläder	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EXTRA	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas ”ruMpel” Rönnberg och James ”Minuit” Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Skaparna av Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Ett communityprojekt	menus/CryOfFear.cpp:1225
Project site	Projektsida	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (POLSK ÖVERSÄTTNING)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	MEDVERKANDE	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Hemligt rum, tom tipsbok, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	En flagga för alla tre; MP5 via Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Okänd flagga (rad 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Okänd flagga (rad 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Okänd flagga (rad 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS med oändlig ammunition	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Okänd flagga (rad 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Okänd flagga (rad 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Okänd flagga (rad 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	David Leatherhoff-dräkt	menus/CryOfFear.cpp:1529
ModDB hoodie	ModDB-luvtröja	menus/CryOfFear.cpp:1533
Hello Kitty suit	Hello Kitty-dräkt	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Afraid of Monsters-dräkt	menus/CryOfFear.cpp:1541
Camouflage hoodie	Kamouflageluvtröja	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Half-Life Creations-luvtröja	menus/CryOfFear.cpp:1549
Black Metal suit	Black Metal-dräkt	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Team Psykskallar-luvtröja	menus/CryOfFear.cpp:1557
Awesome suit	Awesome-dräkt	menus/CryOfFear.cpp:1561
Sick Simon suit	Sjuke Simon-dräkt	menus/CryOfFear.cpp:1565
AoM Twitcher suit	AoM Twitcher-dräkt	menus/CryOfFear.cpp:1569
Custom hoodies	Egna luvtröjor	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	David Leatherhoffs yxa	menus/CryOfFear.cpp:1577
Digital camera	Digitalkamera	menus/CryOfFear.cpp:1581
Simon's book	Simons bok	menus/CryOfFear.cpp:1585
Developer commentary	Utvecklarkommentarer	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Slå på under Nytt spel när den är upplåst	menus/CryOfFear.cpp:1590
Hidden package	Gömt paket	menus/CryOfFear.cpp:1593
Tied to the secret ending	Hör till det hemliga slutet	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Gasmask (mörkerseende)	menus/CryOfFear.cpp:1597
First hint page	Första tipssidan	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	”How To Unlock Book Pages”	menus/CryOfFear.cpp:1602
Second hint page	Andra tipssidan	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	”Ranking System Explained”	menus/CryOfFear.cpp:1606
Third hint page	Tredje tipssidan	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	”How To Unlock Hoodies”	menus/CryOfFear.cpp:1610
Fourth hint page	Fjärde tipssidan	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	”How To Unlock Secret Items”	menus/CryOfFear.cpp:1614
Fifth hint page	Femte tipssidan	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	”How To Unlock Secret Weapons”	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Okänd flagga (rad 81)	menus/CryOfFear.cpp:1621
Doctor mode	Doktorsläge	menus/CryOfFear.cpp:1625
Nightmare difficulty	Svårighetsgrad Mardröm	menus/CryOfFear.cpp:1629
Unlocked	Upplåst	menus/CryOfFear.cpp:1838
UNLOCKABLES	UPPLÅSBART	menus/CryOfFear.cpp:1900
Unlockable	Innehåll	menus/CryOfFear.cpp:1902
How to unlock	Så låser du upp	menus/CryOfFear.cpp:1903
Status	Status	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	Statusen kommer från cryoffear/scriptsettings.dat: varje flagga är en rad på 20 byte som jämförs med de två värden client.dll känner till för den. ”?” betyder att filen saknas eller att raden inte stämmer med något av dem.	menus/CryOfFear.cpp:1912
Open original gallery	Öppna originalgalleriet	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Läs in gallerikartan c_unlockables, spelets ursprungliga skärm	menus/CryOfFear.cpp:1917
GAME OVER	SPELET ÄR SLUT	menus/CryOfFear.cpp:1995
Game over	Spelet är slut	menus/CryOfFear.cpp:2172
Exit	Avsluta	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Söka efter uppdateringar på internet?	menus/Configuration.cpp:56
Game	Spel	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Kontroller	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Ljud	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Grafik	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Sikte, mus, sparande och språk	menus/Configuration.cpp:74
Change keyboard and mouse settings	Ändra tangentbords- och musinställningar	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Ändra ljudvolym och ljudkvalitet	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Ändra upplösning, skärmläge och gamma	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	INSTÄLLNINGAR	menus/Configuration.cpp:81
Touch	Pekskärm	menus/Configuration.cpp:108
Change touch settings and buttons	Ändra pekinställningar och knappar	menus/Configuration.cpp:108
Joystick	Handkontroll	menus/Configuration.cpp:110
Change gamepad axis and button settings	Ändra handkontrollens axlar och knappar	menus/Configuration.cpp:110
Update	Uppdatering	menus/Configuration.cpp:112
Check for updates	Sök efter uppdateringar	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Håll in	menus/AdvancedControls.cpp:97
Toggle	Växla	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (undertexter)	menus/AdvancedControls.cpp:282
not installed	inte installerat	menus/AdvancedControls.cpp:298
GAME	SPEL	menus/AdvancedControls.cpp:619
Crosshair	Hårkors	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Visa vapnets hårkors	menus/AdvancedControls.cpp:626
Reverse mouse	Invertera musen	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Invertera musens lodräta axel	menus/AdvancedControls.cpp:630
Mouse look	Titta med musen	menus/AdvancedControls.cpp:635
Use the mouse to look around	Använd musen för att se dig omkring	menus/AdvancedControls.cpp:635
Look spring	Blicken fjädrar tillbaka	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	När du går framåt återgår blicken till rakt fram	menus/AdvancedControls.cpp:641
Look strafe	I sidled med musen	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Tillsammans med tangenten för att titta med musen flyttar rörelser åt vänster och höger dig i sidled i stället för att vända	menus/AdvancedControls.cpp:645
Mouse filter	Musfilter	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Jämna ut musrörelser	menus/AdvancedControls.cpp:649
Auto-Aim	Automatiskt sikte	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Siktar automatiskt på fiender.	menus/AdvancedControls.cpp:653
Raw mouse input	Direkt musindata	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Läs musen direkt från enheten, utan operativsystemets pekaracceleration	menus/AdvancedControls.cpp:657
Mouse sensitivity	Muskänslighet	menus/AdvancedControls.cpp:661
Input devices	Indataenheter	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Slå på eller av mus och pekkontroller	menus/AdvancedControls.cpp:665
Enable console	Slå på konsolen	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Tillåt utvecklarkonsolen utan startflaggan -console eller -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Spara från pausmenyn	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Tillåt sparande från pausmenyn på de fem delade sparplatserna i Cry of Fear	menus/AdvancedControls.cpp:678
Show console notifications	Visa konsolaviseringar	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Visar konsolens senaste rader uppe till vänster under spelet	menus/AdvancedControls.cpp:706
Subtitle language	Språk för undertexter	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Språket i undertexterna och dokumenten i spelet	menus/AdvancedControls.cpp:686
HUD scale	HUD-storlek	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Storleken på HUD, inventarie och undertexter. Auto behåller samma andel av skärmen i alla upplösningar	menus/AdvancedControls.cpp:693
Aim down sights	Sikta med riktmedel	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Håll in: sikta så länge siktestangenten hålls in. Växla: tryck en gång för att sikta och igen för att sluta	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Språket i menyerna och i spelets undertexter, dokument och skyltar	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Text direkt, skyltar på nästa karta, övrig grafik efter omstart.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Spara ändringarna och gå tillbaka	menus/InputDevices.cpp:81
Ignore mouse	Ignorera musen	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Behövs på vissa servrar. Stänger även av musen i menyn	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Utan pekskärm eller handkontroll kan du inte spela utan mus.\nVill du verkligen stänga av musen?	menus/InputDevices.cpp:94
Enable touch	Slå på pekkontroller	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Kontroller på skärmen för pekskärm	menus/InputDevices.cpp:107
Enable the joystick	Slå på handkontrollen	menus/InputDevices.cpp:111
Enable using game controller in game	Använd en handkontroll i spelet	menus/InputDevices.cpp:111
Evdev input (root)	Evdev-indata (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Slår på full mus- och tangentbordsstyrning på Android	menus/InputDevices.cpp:115
CONTROLS	KONTROLLER	menus/Controls.cpp:234
Action	Handling	menus/Controls.cpp:238
KEY/BUTTON	TANGENT/KNAPP	menus/Controls.cpp:239
ALTERNATE	ALTERNATIV	menus/Controls.cpp:240
Press a key or button	Tryck på en tangent eller knapp	menus/Controls.cpp:242
Reset all actions to use their default keys?	Återställa alla handlingar till standardtangenterna?	menus/Controls.cpp:245
Use Defaults	Standard	menus/Controls.cpp:252
Adv. Controls	Avancerat	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	TRYCK PÅ EN TANGENT	menus/Controls.cpp:282
Video options	Grafikinställningar	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Ställ in skärmstorlek, gamma och bildkvalitet.	menus/Video.cpp:76
Video modes	Skärmlägen	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Ställ in skärmläge och 3D-acceleration.	menus/Video.cpp:77
Go back to the previous menu	Tillbaka till föregående meny	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Ljusstyrka	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Kontrast	menus/VideoModes.cpp:524
Field of view	Synfält	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Grundsynfält för 4:3; 90 är värdet i Cry of Fear. Sikte och skriptade kameror ändras inte.	menus/VideoModes.cpp:533
Viewmodel FOV	Vapnets synfält	menus/VideoModes.cpp:535
Follow FOV	Som synfältet	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Synfältet för bara vapnet du håller. På lägsta steget följer det världens synfält, som i originalet.	menus/VideoModes.cpp:541
Detail textures	Detaljtexturer	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	Använd VBO	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Krusningar i vatten	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Överljus	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Texturfiltrering	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	Skala HUD automatiskt	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1VARNING: experimentellt val, det kan förstöra moddar!^7\n\nStarta om spelet eller anslut till servern igen för att tillämpa inställningarna.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Stöds inte av ditt grafikkort	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Behålla den här upplösningen? %i sekunder kvar	menus/VideoModes.cpp:913
Windowed	Fönster	menus/VideoModes.cpp:933
Fullscreen	Helskärm	menus/VideoModes.cpp:934
Borderless	Utan ram	menus/VideoModes.cpp:935
VIDEO	GRAFIK	menus/VideoModes.cpp:946
Resolution	Upplösning	menus/VideoModes.cpp:949
Vertical sync	Vertikal synkronisering	menus/VideoModes.cpp:952
Restart the game to apply changes	Starta om spelet för att tillämpa ändringarna	menus/VideoModes.cpp:961
Renderer	Renderare	menus/VideoModes.cpp:966
Window mode	Fönsterläge	menus/VideoModes.cpp:973
Apply	Verkställ	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	GRAFIKINSTÄLLNINGAR	menus/VideoOptions.cpp:170
Screen size	Skärmstorlek	menus/VideoOptions.cpp:181
AUDIO	LJUD	menus/Audio.cpp:128
Sound effects volume	Volym för effekter	menus/Audio.cpp:130
MP3 volume *	Musikvolym *	menus/Audio.cpp:136
Menu sounds	Menyljud	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Volym för menyns knapp- och pekarljud	menus/Audio.cpp:146
HEV suit volume	Volym för HEV-dräkten	menus/Audio.cpp:153
Disable DSP effects	Stäng av DSP-effekter	menus/Audio.cpp:159
Use Alpha DSP effects	Använd Alpha-DSP-effekter	menus/Audio.cpp:163
Mute when inactive	Tysta i bakgrunden	menus/Audio.cpp:167
Enable vibration	Slå på vibration	menus/Audio.cpp:171
Vibration	Vibration	menus/Audio.cpp:178
No preview	Ingen förhandsvisning	menus/LoadGame.cpp:235
Slot %i	Plats %i	menus/LoadGame.cpp:273
Empty	Tom	menus/LoadGame.cpp:300
Current	Nuvarande	menus/LoadGame.cpp:321
New saved game	Nytt sparat spel	menus/LoadGame.cpp:322
New	Nytt	menus/LoadGame.cpp:323
[quick]	[snabb]	menus/LoadGame.cpp:394
[autosave]	[autospar]	menus/LoadGame.cpp:396
Save	Sparat spel	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Läs in	menus/LoadGame.cpp:452
Delete	Ta bort	menus/LoadGame.cpp:457
Time	Tid	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Speltid	menus/LoadGame.cpp:471
Slot	Plats	menus/LoadGame.cpp:474
Date	Datum	menus/LoadGame.cpp:476
Delete this saved game?	Ta bort det här sparade spelet?	menus/LoadGame.cpp:483
Overwrite this saved game?	Skriva över det här sparade spelet?	menus/LoadGame.cpp:487
Overwrite	Skriv över	menus/LoadGame.cpp:488
LOAD GAME	LÄS IN SPEL	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	TA BORT SPARAT SPEL	menus/LoadGame.cpp:497
OVERWRITE SAVE	SKRIV ÖVER SPARAT SPEL	menus/LoadGame.cpp:498
SAVE GAME	SPARA SPEL	menus/LoadGame.cpp:518
