# Cry of Fear: Enhanced - Dutch strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\dutch.
english	translation	where
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
Donate	Doneren	menus/CryOfFear.cpp:1053
Soundtrack 1	Soundtrack 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Soundtrack 2	menus/CryOfFear.cpp:1055
Clothes	Kleding	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	EXTRA'S	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas 'ruMpel' Rönnberg en James 'Minuit' Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Makers van Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Een communityproject	menus/CryOfFear.cpp:1225
Project site	Projectsite	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE (POOLSE VERTALING)	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	CREDITS	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Geheime kamer, leeg hintboek, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Eén vlag voor alle drie; MP5 via Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Onbekende vlag (regel 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Onbekende vlag (regel 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Onbekende vlag (regel 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS met oneindig munitie	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Onbekende vlag (regel 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Onbekende vlag (regel 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Onbekende vlag (regel 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	Pak van David Leatherhoff	menus/CryOfFear.cpp:1529
ModDB hoodie	ModDB-hoodie	menus/CryOfFear.cpp:1533
Hello Kitty suit	Hello Kitty-pak	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Afraid of Monsters-pak	menus/CryOfFear.cpp:1541
Camouflage hoodie	Camouflagehoodie	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Half-Life Creations-hoodie	menus/CryOfFear.cpp:1549
Black Metal suit	Black Metal-pak	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Team Psykskallar-hoodie	menus/CryOfFear.cpp:1557
Awesome suit	Awesome-pak	menus/CryOfFear.cpp:1561
Sick Simon suit	Zieke Simon-pak	menus/CryOfFear.cpp:1565
AoM Twitcher suit	AoM Twitcher-pak	menus/CryOfFear.cpp:1569
Custom hoodies	Eigen hoodies	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	Bijl van David Leatherhoff	menus/CryOfFear.cpp:1577
Digital camera	Digitale camera	menus/CryOfFear.cpp:1581
Simon's book	Simons boek	menus/CryOfFear.cpp:1585
Developer commentary	Commentaar van de makers	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Aan te zetten bij Nieuw spel	menus/CryOfFear.cpp:1590
Hidden package	Verborgen pakket	menus/CryOfFear.cpp:1593
Tied to the secret ending	Hoort bij het geheime einde	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Gasmasker (nachtzicht)	menus/CryOfFear.cpp:1597
First hint page	Eerste hintpagina	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	'How To Unlock Book Pages'	menus/CryOfFear.cpp:1602
Second hint page	Tweede hintpagina	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	'Ranking System Explained'	menus/CryOfFear.cpp:1606
Third hint page	Derde hintpagina	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	'How To Unlock Hoodies'	menus/CryOfFear.cpp:1610
Fourth hint page	Vierde hintpagina	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	'How To Unlock Secret Items'	menus/CryOfFear.cpp:1614
Fifth hint page	Vijfde hintpagina	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	'How To Unlock Secret Weapons'	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Onbekende vlag (regel 81)	menus/CryOfFear.cpp:1621
Doctor mode	Doktermodus	menus/CryOfFear.cpp:1625
Nightmare difficulty	Moeilijkheid Nachtmerrie	menus/CryOfFear.cpp:1629
Unlocked	Ontgrendeld	menus/CryOfFear.cpp:1838
UNLOCKABLES	ONTGRENDELBAAR	menus/CryOfFear.cpp:1900
Unlockable	Extra	menus/CryOfFear.cpp:1902
How to unlock	Hoe te ontgrendelen	menus/CryOfFear.cpp:1903
Status	Status	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	De status komt uit cryoffear/scriptsettings.dat: elke vlag is een regel van 20 bytes, vergeleken met de twee waarden die client.dll ervoor kent. '?' betekent dat het bestand ontbreekt of dat de regel met geen van beide overeenkomt.	menus/CryOfFear.cpp:1912
Open original gallery	Originele galerij openen	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	De galerijmap c_unlockables laden, het originele scherm van het spel	menus/CryOfFear.cpp:1917
GAME OVER	GAME OVER	menus/CryOfFear.cpp:1995
Game over	Game over	menus/CryOfFear.cpp:2172
Exit	Afsluiten	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Online naar updates zoeken?	menus/Configuration.cpp:56
Game	Spel	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Besturing	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Geluid	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Beeld	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Richten, muis, opslaan en taal	menus/Configuration.cpp:74
Change keyboard and mouse settings	Toetsenbord- en muisinstellingen aanpassen	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Volume en geluidskwaliteit aanpassen	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Resolutie, beeldmodus en gamma aanpassen	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	OPTIES	menus/Configuration.cpp:81
Touch	Aanraken	menus/Configuration.cpp:108
Change touch settings and buttons	Aanraakinstellingen en -knoppen aanpassen	menus/Configuration.cpp:108
Joystick	Controller	menus/Configuration.cpp:110
Change gamepad axis and button settings	Assen en knoppen van de controller aanpassen	menus/Configuration.cpp:110
Update	Update	menus/Configuration.cpp:112
Check for updates	Naar updates zoeken	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Vasthouden	menus/AdvancedControls.cpp:97
Toggle	Wisselen	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (ondertitels)	menus/AdvancedControls.cpp:282
not installed	niet geïnstalleerd	menus/AdvancedControls.cpp:298
GAME	SPEL	menus/AdvancedControls.cpp:619
Crosshair	Richtkruis	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Richtkruis van het wapen tonen	menus/AdvancedControls.cpp:626
Reverse mouse	Muis omkeren	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Verticale muisas omkeren	menus/AdvancedControls.cpp:630
Mouse look	Rondkijken met muis	menus/AdvancedControls.cpp:635
Use the mouse to look around	Met de muis rondkijken	menus/AdvancedControls.cpp:635
Look spring	Blik terugveren	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	Bij vooruitlopen veert de blik terug naar recht vooruit	menus/AdvancedControls.cpp:641
Look strafe	Zijwaarts met muis	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Met de rondkijktoets ingedrukt stapt de muis links-rechts zijwaarts in plaats van te draaien	menus/AdvancedControls.cpp:645
Mouse filter	Muisfilter	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Muisbeweging afvlakken	menus/AdvancedControls.cpp:649
Auto-Aim	Automatisch richten	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Richt automatisch op vijanden.	menus/AdvancedControls.cpp:653
Raw mouse input	Directe muisinvoer	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	De muis direct van het apparaat lezen, zonder de muisversnelling van het systeem	menus/AdvancedControls.cpp:657
Mouse sensitivity	Muisgevoeligheid	menus/AdvancedControls.cpp:661
Input devices	Invoerapparaten	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Muis en aanraakbesturing aan- of uitzetten	menus/AdvancedControls.cpp:665
Enable console	Console aanzetten	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	De ontwikkelaarsconsole toestaan zonder de startoptie -console of -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Opslaan vanuit pauzemenu	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Opslaan vanuit het pauzemenu toestaan in de vijf gedeelde Cry of Fear-plekken	menus/AdvancedControls.cpp:678
Show console notifications	Consolemeldingen tonen	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Toont de nieuwste consoleregels linksboven tijdens het spelen	menus/AdvancedControls.cpp:706
Subtitle language	Taal ondertitels	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Taal van de ondertitels en de documenten in het spel	menus/AdvancedControls.cpp:686
HUD scale	HUD-grootte	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Grootte van HUD, inventaris en ondertitels. Auto houdt ze bij elke resolutie even groot ten opzichte van het scherm	menus/AdvancedControls.cpp:693
Aim down sights	Richten via vizier	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Vasthouden: richten zolang de richttoets ingedrukt is. Wisselen: druk één keer om te richten en nog eens om te stoppen	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Taal van de menu's en van de ondertitels, documenten en borden in het spel	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Tekst meteen, borden bij de volgende map, overige beelden na een herstart.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Wijzigingen opslaan en terug	menus/InputDevices.cpp:81
Ignore mouse	Muis negeren	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Nodig op sommige servers. Zet de muis ook in het menu uit	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Zonder touchscreen of controller kun je niet spelen zonder muis.\nMuis echt uitzetten?	menus/InputDevices.cpp:94
Enable touch	Aanraakbesturing aan	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Besturing op het scherm voor touchscreens	menus/InputDevices.cpp:107
Enable the joystick	Controller aanzetten	menus/InputDevices.cpp:111
Enable using game controller in game	Een controller gebruiken in het spel	menus/InputDevices.cpp:111
Evdev input (root)	Evdev-invoer (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Zet volledige muis- en toetsenbordbesturing aan op Android	menus/InputDevices.cpp:115
CONTROLS	BESTURING	menus/Controls.cpp:234
Action	Actie	menus/Controls.cpp:238
KEY/BUTTON	TOETS/KNOP	menus/Controls.cpp:239
ALTERNATE	ALTERNATIEF	menus/Controls.cpp:240
Press a key or button	Druk op een toets of knop	menus/Controls.cpp:242
Reset all actions to use their default keys?	Alle acties terugzetten naar de standaardtoetsen?	menus/Controls.cpp:245
Use Defaults	Standaard	menus/Controls.cpp:252
Adv. Controls	Geavanceerd	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	DRUK OP EEN TOETS	menus/Controls.cpp:282
Video options	Beeldopties	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Beeldopties zoals schermgrootte, gamma en beeldkwaliteit instellen.	menus/Video.cpp:76
Video modes	Beeldmodi	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Beeldmodus en 3D-versnelling instellen.	menus/Video.cpp:77
Go back to the previous menu	Terug naar het vorige menu	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Helderheid	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Contrast	menus/VideoModes.cpp:524
Field of view	Gezichtsveld	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Basisgezichtsveld voor 4:3; 90 is de waarde van Cry of Fear. Vizier en gescripte camera's veranderen niet.	menus/VideoModes.cpp:533
Viewmodel FOV	Gezichtsveld wapen	menus/VideoModes.cpp:535
Follow FOV	Volgt gezichtsveld	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Gezichtsveld van alleen het vastgehouden wapen. Op de laagste stand volgt het de wereld, zoals in het origineel.	menus/VideoModes.cpp:541
Detail textures	Detailtextures	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	VBO gebruiken	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Rimpelingen in water	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Overbelichting	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Texturefiltering	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	HUD automatisch schalen	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1WAARSCHUWING: experimentele optie, aanzetten kan mods breken!^7\n\nStart het spel opnieuw of maak opnieuw verbinding met de server om de instellingen toe te passen.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Niet ondersteund door je videokaart	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Deze resolutie houden? Nog %i seconden	menus/VideoModes.cpp:913
Windowed	Venster	menus/VideoModes.cpp:933
Fullscreen	Volledig scherm	menus/VideoModes.cpp:934
Borderless	Randloos	menus/VideoModes.cpp:935
VIDEO	BEELD	menus/VideoModes.cpp:946
Resolution	Resolutie	menus/VideoModes.cpp:949
Vertical sync	Verticale synchronisatie	menus/VideoModes.cpp:952
Restart the game to apply changes	Start het spel opnieuw om de wijzigingen toe te passen	menus/VideoModes.cpp:961
Renderer	Renderer	menus/VideoModes.cpp:966
Window mode	Venstermodus	menus/VideoModes.cpp:973
Apply	Toepassen	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	BEELDOPTIES	menus/VideoOptions.cpp:170
Screen size	Schermgrootte	menus/VideoOptions.cpp:181
AUDIO	GELUID	menus/Audio.cpp:128
Sound effects volume	Volume effecten	menus/Audio.cpp:130
MP3 volume *	Volume muziek *	menus/Audio.cpp:136
Menu sounds	Menugeluiden	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Volume van de knop- en hovergeluiden van het menu	menus/Audio.cpp:146
HEV suit volume	Volume HEV-pak	menus/Audio.cpp:153
Disable DSP effects	DSP-effecten uitzetten	menus/Audio.cpp:159
Use Alpha DSP effects	Alpha-DSP-effecten gebruiken	menus/Audio.cpp:163
Mute when inactive	Dempen op de achtergrond	menus/Audio.cpp:167
Enable vibration	Trillen aanzetten	menus/Audio.cpp:171
Vibration	Trillen	menus/Audio.cpp:178
No preview	Geen voorbeeld	menus/LoadGame.cpp:235
Slot %i	Plek %i	menus/LoadGame.cpp:273
Empty	Leeg	menus/LoadGame.cpp:300
Current	Huidig	menus/LoadGame.cpp:321
New saved game	Nieuw opgeslagen spel	menus/LoadGame.cpp:322
New	Nieuw	menus/LoadGame.cpp:323
[quick]	[snel]	menus/LoadGame.cpp:394
[autosave]	[automatisch]	menus/LoadGame.cpp:396
Save	Opgeslagen spel	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Laden	menus/LoadGame.cpp:452
Delete	Verwijderen	menus/LoadGame.cpp:457
Time	Tijd	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Speeltijd	menus/LoadGame.cpp:471
Slot	Plek	menus/LoadGame.cpp:474
Date	Datum	menus/LoadGame.cpp:476
Delete this saved game?	Dit opgeslagen spel verwijderen?	menus/LoadGame.cpp:483
Overwrite this saved game?	Dit opgeslagen spel overschrijven?	menus/LoadGame.cpp:487
Overwrite	Overschrijven	menus/LoadGame.cpp:488
LOAD GAME	SPEL LADEN	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	OPGESLAGEN SPEL VERWIJDEREN	menus/LoadGame.cpp:497
