# Cry of Fear: Enhanced - Polish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review. Vocabulary follows the fan translation where the two overlap
# (Koszmar, Komentarz dewelopera, Książka Simona, Zamknij, Anuluj, Koniec gry, ...).
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\polish.
english	translation	where
Done	Gotowe	menus/CryOfFear.cpp:1028;menus/CryOfFear.cpp:1147;menus/CryOfFear.cpp:1325;menus/Configuration.cpp:114;menus/AdvancedControls.cpp:621;menus/InputDevices.cpp:81;menus/Video.cpp:78;menus/Audio.cpp:185;menus/SaveLoad.cpp:150;menus/ServerBrowser.cpp:1201;menus/ServerInfo.cpp:425;menus/ConnectionWarning.cpp:62
Cry of Fear: Enhanced	Cry of Fear: Enhanced	menus/CryOfFear.cpp:1052
Donate	Wesprzyj twórców	menus/CryOfFear.cpp:1053
Soundtrack 1	Ścieżka dźwiękowa 1	menus/CryOfFear.cpp:1054
Soundtrack 2	Ścieżka dźwiękowa 2	menus/CryOfFear.cpp:1055
Clothes	Ubrania	menus/CryOfFear.cpp:1056
Afraid of Monsters DC	Afraid of Monsters DC	menus/CryOfFear.cpp:1057
Facebook	Facebook	menus/CryOfFear.cpp:1058
EXTRAS	DODATKI	menus/CryOfFear.cpp:1106
TEAM PSYKSKALLAR	TEAM PSYKSKALLAR	menus/CryOfFear.cpp:1217
Andreas "ruMpel" Rönnberg and James "Minuit" Marchant	Andreas „ruMpel” Rönnberg i James „Minuit” Marchant	menus/CryOfFear.cpp:1218
Creators of Cry of Fear	Twórcy Cry of Fear	menus/CryOfFear.cpp:1219
YouTube	YouTube	menus/CryOfFear.cpp:1221
CRY OF FEAR: ENHANCED	CRY OF FEAR: ENHANCED	menus/CryOfFear.cpp:1224
Community-driven	Projekt społeczności	menus/CryOfFear.cpp:1225
Project site	Strona projektu	menus/CryOfFear.cpp:1227
CRY OF FEAR SPOLSZCZENIE (POLISH LOCALISATION)	CRY OF FEAR SPOLSZCZENIE	menus/CryOfFear.cpp:1230
Avioo - Tłumaczenie, grafiki, testowanie	Avioo - Tłumaczenie, grafiki, testowanie	menus/CryOfFear.cpp:1231
Mixdedemon - Tłumaczenie	Mixdedemon - Tłumaczenie	menus/CryOfFear.cpp:1232
hexag0n - Technikalia, testowanie	hexag0n - Technikalia, testowanie	menus/CryOfFear.cpp:1233
Izonka - Testowanie	Izonka - Testowanie	menus/CryOfFear.cpp:1234
Steam Workshop	Steam Workshop	menus/CryOfFear.cpp:1236
CREDITS	TWÓRCY	menus/CryOfFear.cpp:1275
Secret room, empty hint book, MP5	Sekretny pokój, pusta księga, MP5	menus/CryOfFear.cpp:1497
One flag for all three; MP5 via Steam group	Jedna flaga dla trzech; MP5 z grupy Steam	menus/CryOfFear.cpp:1498
Unidentified flag (line 7)	Nieznana flaga (linia 7)	menus/CryOfFear.cpp:1501
Unidentified flag (line 15)	Nieznana flaga (linia 15)	menus/CryOfFear.cpp:1505
Unidentified flag (line 22)	Nieznana flaga (linia 22)	menus/CryOfFear.cpp:1509
FAMAS with infinite ammo	FAMAS z nieskończoną amunicją	menus/CryOfFear.cpp:1513
Unidentified flag (line 45)	Nieznana flaga (linia 45)	menus/CryOfFear.cpp:1517
Unidentified flag (line 47)	Nieznana flaga (linia 47)	menus/CryOfFear.cpp:1521
Unidentified flag (line 48)	Nieznana flaga (linia 48)	menus/CryOfFear.cpp:1525
David Leatherhoff suit	Strój Davida Leatherhoffa	menus/CryOfFear.cpp:1529
ModDB hoodie	Bluza ModDB	menus/CryOfFear.cpp:1533
Hello Kitty suit	Strój Hello Kitty	menus/CryOfFear.cpp:1537
Afraid of Monsters suit	Strój Afraid of Monsters	menus/CryOfFear.cpp:1541
Camouflage hoodie	Bluza Kamuflaż	menus/CryOfFear.cpp:1545
Half Life Creations hoodie	Bluza Half-Life Creations	menus/CryOfFear.cpp:1549
Black Metal suit	Strój Black Metal	menus/CryOfFear.cpp:1553
Team Psykskallar hoodie	Bluza Team Psykskallar	menus/CryOfFear.cpp:1557
Awesome suit	Strój Jebać Anime	menus/CryOfFear.cpp:1561
Sick Simon suit	Strój Chory Simon	menus/CryOfFear.cpp:1565
AoM Twitcher suit	Strój AoM Twitcher	menus/CryOfFear.cpp:1569
Custom hoodies	Własne bluzy	menus/CryOfFear.cpp:1573
David Leatherhoff's axe	Siekiera Davida Leatherhoffa	menus/CryOfFear.cpp:1577
Digital camera	Aparat cyfrowy	menus/CryOfFear.cpp:1581
Simon's book	Książka Simona	menus/CryOfFear.cpp:1585
Developer commentary	Komentarz dewelopera	menus/CryOfFear.cpp:1589
Enable it on the New Game page once unlocked	Po odblokowaniu włącz w Nowej grze	menus/CryOfFear.cpp:1590
Hidden package	Sekretna paczka	menus/CryOfFear.cpp:1593
Tied to the secret ending	Związana z sekretnym zakończeniem	menus/CryOfFear.cpp:1594
Gasmask (night vision)	Maska gazowa (noktowizor)	menus/CryOfFear.cpp:1597
First hint page	Pierwsza strona podpowiedzi	menus/CryOfFear.cpp:1601
In-game hint page "How To Unlock Book Pages"	Podpowiedź „Jak odblokować strony”	menus/CryOfFear.cpp:1602
Second hint page	Druga strona podpowiedzi	menus/CryOfFear.cpp:1605
In-game hint page "Ranking System Explained"	Podpowiedź „Wyjaśnienie oceniania”	menus/CryOfFear.cpp:1606
Third hint page	Trzecia strona podpowiedzi	menus/CryOfFear.cpp:1609
In-game hint page "How To Unlock Hoodies"	Podpowiedź „Jak odblokować bluzy”	menus/CryOfFear.cpp:1610
Fourth hint page	Czwarta strona podpowiedzi	menus/CryOfFear.cpp:1613
In-game hint page "How To Unlock Secret Items"	Podpowiedź „Jak odblokować przedmioty”	menus/CryOfFear.cpp:1614
Fifth hint page	Piąta strona podpowiedzi	menus/CryOfFear.cpp:1617
In-game hint page "How To Unlock Secret Weapons"	Podpowiedź „Jak odblokować bronie”	menus/CryOfFear.cpp:1618
Unidentified flag (line 81)	Nieznana flaga (linia 81)	menus/CryOfFear.cpp:1621
Doctor mode	Tryb Doktora	menus/CryOfFear.cpp:1625
Nightmare difficulty	Poziom trudności Koszmar	menus/CryOfFear.cpp:1629
Unlocked	Odblokowane	menus/CryOfFear.cpp:1838
UNLOCKABLES	ODBLOKOWANIA	menus/CryOfFear.cpp:1900
Unlockable	Do odblokowania	menus/CryOfFear.cpp:1902
How to unlock	Jak odblokować	menus/CryOfFear.cpp:1903
Status	Stan	menus/CryOfFear.cpp:1904
Status comes from cryoffear/scriptsettings.dat: each flag is one 20-byte line, compared to the two tokens client.dll carries for it. "?" means the file is missing or the line matches neither.	Stan pochodzi z pliku cryoffear/scriptsettings.dat: każda flaga to jedna 20-bajtowa linia porównywana z dwoma kodami zapisanymi w client.dll. „?” oznacza brak pliku albo linię niepasującą do żadnego z nich.	menus/CryOfFear.cpp:1912
Open original gallery	Otwórz oryginalną galerię	menus/CryOfFear.cpp:1914
Load the c_unlockables gallery map, the client's own screen	Wczytaj mapę galerii c_unlockables, oryginalny ekran gry	menus/CryOfFear.cpp:1917
GAME OVER	KONIEC GRY	menus/CryOfFear.cpp:1995
Game over	Koniec gry	menus/CryOfFear.cpp:2172
Exit	Wyjdź	menus/CryOfFear.cpp:2179
Check the Internet for updates?	Sprawdzić aktualizacje w internecie?	menus/Configuration.cpp:56
Game	Gra	menus/Configuration.cpp:71;menus/LoadGame.cpp:470
Controls	Sterowanie	menus/Configuration.cpp:71;menus/Configuration.cpp:102
Audio	Dźwięk	menus/Configuration.cpp:71;menus/Configuration.cpp:104
Video	Obraz	menus/Configuration.cpp:71;menus/Configuration.cpp:106
Aiming, mouse look, saves and language	Celowanie, mysz, zapisy i język	menus/Configuration.cpp:74
Change keyboard and mouse settings	Zmień ustawienia klawiatury i myszy	menus/Configuration.cpp:75;menus/Configuration.cpp:102
Change sound volume and quality	Zmień głośność i jakość dźwięku	menus/Configuration.cpp:76;menus/Configuration.cpp:104
Change screen size, video mode and gamma	Zmień rozdzielczość, tryb wyświetlania i gammę	menus/Configuration.cpp:77;menus/Configuration.cpp:106
OPTIONS	OPCJE	menus/Configuration.cpp:81
Touch	Dotyk	menus/Configuration.cpp:108
Change touch settings and buttons	Zmień ustawienia i przyciski ekranu dotykowego	menus/Configuration.cpp:108
Joystick	Kontroler	menus/Configuration.cpp:110
Change gamepad axis and button settings	Zmień osie i przyciski kontrolera	menus/Configuration.cpp:110
Update	Aktualizacja	menus/Configuration.cpp:112
Check for updates	Sprawdź aktualizacje	menus/Configuration.cpp:112
Auto	Auto	menus/AdvancedControls.cpp:77
Hold	Przytrzymanie	menus/AdvancedControls.cpp:97
Toggle	Przełączanie	menus/AdvancedControls.cpp:97
Nederlands	Nederlands	menus/AdvancedControls.cpp:132
Français	Français	menus/AdvancedControls.cpp:132
Deutsch	Deutsch	menus/AdvancedControls.cpp:132
Norsk	Norsk	menus/AdvancedControls.cpp:132
Español	Español	menus/AdvancedControls.cpp:132
Svenska	Svenska	menus/AdvancedControls.cpp:132
%s (subtitles)	%s (napisy)	menus/AdvancedControls.cpp:282
not installed	nie zainstalowano	menus/AdvancedControls.cpp:298
GAME	GRA	menus/AdvancedControls.cpp:619
Crosshair	Celownik	menus/AdvancedControls.cpp:626
Enable the weapon aiming crosshair	Pokazuj celownik broni	menus/AdvancedControls.cpp:626
Reverse mouse	Odwróć mysz	menus/AdvancedControls.cpp:630
Reverse mouse up-down axis	Odwróć oś góra-dół myszy	menus/AdvancedControls.cpp:630
Mouse look	Rozglądanie myszą	menus/AdvancedControls.cpp:635
Use the mouse to look around	Rozglądaj się za pomocą myszy	menus/AdvancedControls.cpp:635
Look spring	Powrót widoku	menus/AdvancedControls.cpp:641
Causes the screen to 'spring' back to looking straight ahead when you move forward	Podczas ruchu do przodu widok sam wraca do patrzenia prosto przed siebie	menus/AdvancedControls.cpp:641
Look strafe	Ruch boczny myszą	menus/AdvancedControls.cpp:645
In combination with your mouse look modifier, causes left-right movements to strafe instead of turn	Z wciśniętym klawiszem rozglądania ruch myszy w lewo i prawo przesuwa postać w bok zamiast ją obracać	menus/AdvancedControls.cpp:645
Mouse filter	Filtrowanie myszy	menus/AdvancedControls.cpp:649
Smooth out mouse movement	Wygładza ruch myszy	menus/AdvancedControls.cpp:649
Auto-Aim	Automatyczne celowanie	menus/AdvancedControls.cpp:653
Aims at enemies automatically.	Automatycznie celuje we wrogów.	menus/AdvancedControls.cpp:653
Raw mouse input	Bezpośredni odczyt myszy	menus/AdvancedControls.cpp:657
Take the mouse straight from the device, bypassing the operating system's pointer acceleration	Odczytuj mysz prosto z urządzenia, z pominięciem przyspieszenia wskaźnika systemu	menus/AdvancedControls.cpp:657
Mouse sensitivity	Czułość myszy	menus/AdvancedControls.cpp:661
Input devices	Urządzenia sterujące	menus/AdvancedControls.cpp:665
Toggle mouse, touch controls	Włącz lub wyłącz mysz i sterowanie dotykowe	menus/AdvancedControls.cpp:665
Enable console	Włącz konsolę	menus/AdvancedControls.cpp:672
Allow the developer console without the -console or -dev command line switch	Pozwala otwierać konsolę dewelopera bez parametru -console lub -dev	menus/AdvancedControls.cpp:673
Pause menu saves	Zapis z menu pauzy	menus/AdvancedControls.cpp:677
Allow saving from the pause menu into the five shared Cry of Fear slots	Pozwala zapisywać grę z menu pauzy w pięciu wspólnych slotach Cry of Fear	menus/AdvancedControls.cpp:678
Show console notifications	Pokazuj powiadomienia konsoli	menus/AdvancedControls.cpp:705
Show the newest console lines in the top-left corner during play	Pokazuje najnowsze wiersze konsoli w lewym górnym rogu podczas gry	menus/AdvancedControls.cpp:706
Subtitle language	Język napisów	menus/AdvancedControls.cpp:682
Language of the subtitles and the in-game documents	Język napisów i dokumentów w grze	menus/AdvancedControls.cpp:686
HUD scale	Skala HUD	menus/AdvancedControls.cpp:689
Size of the in-game HUD, inventory and subtitles. Auto keeps them the same fraction of the screen at every resolution	Rozmiar HUD, ekwipunku i napisów. Auto zachowuje tę samą część ekranu w każdej rozdzielczości	menus/AdvancedControls.cpp:693
Aim down sights	Celowanie przez przyrządy	menus/AdvancedControls.cpp:696
Hold: aim while the aim key is held. Toggle: press once to aim, press again to stop	Przytrzymanie: celujesz, dopóki trzymasz klawisz. Przełączanie: naciśnij raz, aby celować, i ponownie, aby przestać	menus/AdvancedControls.cpp:700
Language of the menus and of the game's subtitles, documents and signs	Język menu oraz napisów, dokumentów i szyldów w grze	menus/AdvancedControls.cpp:707
Text switches at once, signs on the next map; restart the game for the remaining art.	Teksty od razu, szyldy na następnej mapie, reszta grafik po restarcie gry.	menus/AdvancedControls.cpp:713
Save changed and go back to the Customize Menu	Zapisz zmiany i wróć do ustawień	menus/InputDevices.cpp:81
Ignore mouse	Ignoruj mysz	menus/InputDevices.cpp:86
Need for some servers. Will disable mouse in menu too	Potrzebne na niektórych serwerach. Wyłącza mysz także w menu	menus/InputDevices.cpp:86
If you do not have touchscreen, or joystick, you will not be able to play without mouse.\nAre you sure to disable mouse?	Bez ekranu dotykowego lub kontrolera nie da się grać bez myszy.\nNa pewno wyłączyć mysz?	menus/InputDevices.cpp:94
Enable touch	Włącz sterowanie dotykowe	menus/InputDevices.cpp:107
On-screen controls for touchscreen	Przyciski na ekranie dotykowym	menus/InputDevices.cpp:107
Enable the joystick	Włącz kontroler	menus/InputDevices.cpp:111
Enable using game controller in game	Pozwala sterować w grze kontrolerem	menus/InputDevices.cpp:111
Evdev input (root)	Wejście evdev (root)	menus/InputDevices.cpp:115
Press this to enable full mouse and keyboard control on Android	Włącza pełną obsługę myszy i klawiatury na Androidzie	menus/InputDevices.cpp:115
CONTROLS	STEROWANIE	menus/Controls.cpp:234
Action	Czynność	menus/Controls.cpp:238
KEY/BUTTON	KLAWISZ/PRZYCISK	menus/Controls.cpp:239
ALTERNATE	ALTERNATYWNY	menus/Controls.cpp:240
Press a key or button	Naciśnij klawisz lub przycisk	menus/Controls.cpp:242
Reset all actions to use their default keys?	Przywrócić domyślne klawisze wszystkich czynności?	menus/Controls.cpp:245
Use Defaults	Domyślne	menus/Controls.cpp:252
Adv. Controls	Zaawansowane	menus/Controls.cpp:258
OK	OK	menus/Controls.cpp:264;menus/Controls.cpp:268;menus/VideoOptions.cpp:171;menus/VideoOptions.cpp:203;menus/CreateGame.cpp:244;menus/ServerBrowser.cpp:1205;controls/YesNoMessageBox.cpp:83;controls/YesNoMessageBox.cpp:324
PRESS A KEY	NACIŚNIJ KLAWISZ	menus/Controls.cpp:282
Video options	Opcje obrazu	menus/Video.cpp:76
Set video options such as screen size, gamma and image quality.	Ustaw opcje obrazu: rozmiar ekranu, gammę i jakość grafiki.	menus/Video.cpp:76
Video modes	Tryby wyświetlania	menus/Video.cpp:77
Set video modes and configure 3D accelerators.	Ustaw tryb wyświetlania i akcelerację 3D.	menus/Video.cpp:77
Go back to the previous menu	Powrót do poprzedniego menu	menus/Video.cpp:78
Gamma	Gamma	menus/VideoModes.cpp:514;menus/VideoOptions.cpp:189
Brightness	Jasność	menus/VideoModes.cpp:519;menus/VideoOptions.cpp:197
Contrast	Kontrast	menus/VideoModes.cpp:524
Field of view	Pole widzenia	menus/VideoModes.cpp:529
The 4:3 base field of view; 90 is Cry of Fear's own. Ironsights and scripted cameras are not rescaled.	Bazowe pole widzenia dla 4:3; 90 to wartość oryginalna. Celowanie i skryptowane kamery się nie zmieniają.	menus/VideoModes.cpp:533
Viewmodel FOV	Pole widzenia broni	menus/VideoModes.cpp:535
Follow FOV	Jak świat	menus/VideoModes.cpp:537
Field of view of the held weapon only. At the lowest step it follows the world field of view, which is the stock look.	Pole widzenia samej trzymanej broni. Na najniższym stopniu jest takie jak pole widzenia świata, czyli jak w oryginale.	menus/VideoModes.cpp:541
Detail textures	Tekstury detali	menus/VideoModes.cpp:543;menus/VideoOptions.cpp:209
Use VBO	Używaj VBO	menus/VideoModes.cpp:544;menus/VideoOptions.cpp:213
Water ripples	Fale na wodzie	menus/VideoModes.cpp:545;menus/VideoOptions.cpp:217
Overbrights	Prześwietlenie (overbright)	menus/VideoModes.cpp:546;menus/VideoOptions.cpp:221
Texture filtering	Filtrowanie tekstur	menus/VideoModes.cpp:547;menus/VideoOptions.cpp:225
Auto scale HUD	Automatyczna skala HUD	menus/VideoModes.cpp:548;menus/VideoOptions.cpp:229
^1WARNING: This is an experimental option and turning it on might break mods!^7\n\nReload the game or reconnect to the server to apply the settings.	^1UWAGA: to opcja eksperymentalna, jej włączenie może zepsuć modyfikacje!^7\n\nUruchom grę ponownie lub połącz się ponownie z serwerem, aby zastosować ustawienia.	menus/VideoModes.cpp:550;menus/VideoOptions.cpp:233
Not supported on your GPU	Nieobsługiwane przez twoją kartę graficzną	menus/VideoModes.cpp:726;menus/VideoOptions.cpp:371
Keep this resolution? %i seconds remaining	Zachować tę rozdzielczość? Pozostało sekund: %i	menus/VideoModes.cpp:913
Windowed	W oknie	menus/VideoModes.cpp:933
Fullscreen	Pełny ekran	menus/VideoModes.cpp:934
Borderless	Okno bez ramki	menus/VideoModes.cpp:935
VIDEO	OBRAZ	menus/VideoModes.cpp:946
Resolution	Rozdzielczość	menus/VideoModes.cpp:949
Vertical sync	Synchronizacja pionowa	menus/VideoModes.cpp:952
Restart the game to apply changes	Uruchom grę ponownie, aby zastosować zmiany	menus/VideoModes.cpp:961
Renderer	Renderer	menus/VideoModes.cpp:966
Window mode	Tryb okna	menus/VideoModes.cpp:973
Apply	Zastosuj	menus/VideoModes.cpp:992;menus/VideoModes.cpp:996
VIDEO OPTIONS	OPCJE OBRAZU	menus/VideoOptions.cpp:170
Screen size	Rozmiar ekranu	menus/VideoOptions.cpp:181
AUDIO	DŹWIĘK	menus/Audio.cpp:128
Sound effects volume	Głośność efektów	menus/Audio.cpp:130
MP3 volume *	Głośność muzyki *	menus/Audio.cpp:136
Menu sounds	Dźwięki menu	menus/Audio.cpp:145
Volume of the menu's own button and rollover sounds	Głośność dźwięków przycisków menu	menus/Audio.cpp:146
HEV suit volume	Głośność kombinezonu HEV	menus/Audio.cpp:153
Disable DSP effects	Wyłącz efekty DSP	menus/Audio.cpp:159
Use Alpha DSP effects	Efekty DSP Alpha	menus/Audio.cpp:163
Mute when inactive	Wycisz, gdy gra jest w tle	menus/Audio.cpp:167
Enable vibration	Włącz wibracje	menus/Audio.cpp:171
Vibration	Wibracje	menus/Audio.cpp:178
No preview	Brak podglądu	menus/LoadGame.cpp:235
Slot %i	Slot %i	menus/LoadGame.cpp:273
Empty	Pusty	menus/LoadGame.cpp:300
Current	Bieżący	menus/LoadGame.cpp:321
New saved game	Nowy zapis	menus/LoadGame.cpp:322
